Year,Round,Abbreviation,Position,GridPosition,Target,log_grid_pos,driver_win_rate,driver_avg_pos,team_avg_pos,driver_recent_avg_pos,driver_wet_avg_pos,track_avg_pos,track_avg_sc_laps,track_rain_prob,grid_team_interaction,driver_hot_form,teammate_diff,pos_gain_avg,Event_encoded,CircuitType_encoded
2019,5,HUL,13,0,13,0.0,0.0,14.5,15.25,14.5,20.0,20.0,0.0,0.0,0.0,17.0,-0.75,-1.75,30,0
2019,5,RAI,14,14,0,2.70805020110221,0.0,8.5,10.875,8.5,20.0,20.0,0.0,0.0,29.450045936986534,8.666666666666666,-2.375,-1.0,30,0
2019,5,PER,15,15,0,2.772588722239781,0.0,9.25,10.125,9.25,20.0,20.0,0.0,0.0,28.072460812677782,8.0,-0.875,1.0,30,0
2019,5,GIO,16,18,-2,2.9444389791664403,0.0,13.25,10.875,13.25,20.0,20.0,0.0,0.0,32.02077389843504,12.666666666666666,2.375,3.25,30,0
2019,5,RUS,17,19,-2,2.995732273553991,0.0,15.5,16.0,15.5,20.0,20.0,0.0,0.0,47.931716376863854,15.333333333333334,-0.5,2.25,30,0
2019,5,KUB,18,17,1,2.8903717578961645,0.0,16.5,16.0,16.5,20.0,20.0,0.0,0.0,46.24594812633863,16.333333333333332,0.5,-2.0,30,0
2019,5,STR,19,16,3,2.833213344056216,0.0,11.0,10.125,11.0,20.0,20.0,0.0,0.0,28.686285108569187,11.666666666666666,0.875,4.75,30,0
2019,5,NOR,20,10,10,2.3978952727983707,0.0,11.0,13.0,11.0,20.0,20.0,0.0,0.0,31.17263854637882,10.666666666666666,-2.0,-1.25,30,0
2019,6,HAM,1,1,0,0.6931471805599453,0.6,1.4,1.5,1.4,20.0,20.0,0.0,0.0,1.0397207708399179,1.3333333333333333,-0.1,0.6,23,1
2019,6,VET,2,4,-2,1.6094379124341003,0.0,3.8,4.2,3.8,20.0,20.0,0.0,0.0,6.759639232223221,3.3333333333333335,-0.4,-1.0,23,1
2019,6,BOT,3,2,1,1.0986122886681098,0.4,1.6,1.5,1.6,20.0,20.0,0.0,0.0,1.6479184330021646,1.6666666666666667,0.1,0.2,23,1
2019,6,VER,4,3,1,1.3862943611198906,0.0,3.6,6.6,3.6,20.0,20.0,0.0,0.0,9.149542783391277,3.6666666666666665,-3.0,0.8,23,1
2019,6,GAS,5,8,-3,2.1972245773362196,0.0,9.6,6.6,9.6,20.0,20.0,0.0,0.0,14.501682210419048,9.666666666666666,3.0,-1.2,23,1
2019,6,SAI,6,9,-3,2.302585092994046,0.0,13.6,13.2,13.6,20.0,20.0,0.0,0.0,30.394123227521405,9.666666666666666,0.4,-1.6,23,1
2019,6,KVY,7,7,0,2.0794415416798357,0.0,13.8,12.4,13.8,20.0,20.0,0.0,0.0,25.785075116829965,15.666666666666666,1.4,-2.6,23,1
2019,6,ALB,8,10,-2,2.3978952727983707,0.0,11.0,12.4,11.0,20.0,20.0,0.0,0.0,29.7339013826998,10.666666666666666,-1.4,-1.6,23,1
2019,6,RIC,9,6,3,1.9459101490553132,0.0,15.2,14.7,15.2,20.0,20.0,0.0,0.0,28.604879191113103,13.0,0.5,-4.8,23,1
2019,6,GRO,10,13,-3,2.6390573296152584,0.0,15.4,12.9,15.4,20.0,20.0,0.0,0.0,34.043839552036836,13.0,2.5,-5.8,23,1
2019,6,NOR,11,12,-1,2.5649493574615367,0.0,12.8,13.2,12.8,20.0,20.0,0.0,0.0,33.85733151849228,15.333333333333334,-0.4,-3.0,23,1
2019,6,PER,12,16,-4,2.833213344056216,0.0,10.4,11.5,10.4,20.0,20.0,0.0,0.0,32.58195345664649,9.666666666666666,-1.1,0.8,23,1
2019,6,HUL,13,11,2,2.4849066497880004,0.0,14.2,14.7,14.2,20.0,20.0,0.0,0.0,36.5281277518836,15.666666666666666,-0.5,-4.0,23,1
2019,6,MAG,14,5,9,1.791759469228055,0.0,10.4,12.9,10.4,20.0,20.0,0.0,0.0,23.113697153041908,11.0,-2.5,-2.0,23,1
2019,6,RUS,15,19,-4,2.995732273553991,0.0,15.8,16.3,15.8,20.0,20.0,0.0,0.0,48.830436058930054,16.0,-0.5,2.2,23,1
2019,6,STR,16,17,-1,2.8903717578961645,0.0,12.6,11.5,12.6,20.0,20.0,0.0,0.0,33.23927521580589,13.333333333333334,1.1,3.2,23,1
